Topic,Count,Name,Representation,Representative_Docs
92,70,92_hdl_carnitine_cholesterol_ldl,"['hdl', 'carnitine', 'cholesterol', 'ldl', 'insulin', 'lipid', 'diabetes', 'levels', 'caad', 'heart']","['Higher HDL cholesterol levels may be protective against the development of albuminuria in patients with type 1 diabetes. Whether this is due to the HDL cholesterol levels or whether they serve as a marker for some other mechanism remains to be determined.', 'This study is the first to contrast the associations of HDL-2 and HDL-3 with CAAD. We found that HDL-3 levels were more predictive of CAAD status than HDL-2, HDL-C, or apolipoprotein A1. In addition, for men, paraoxonase 1 activity improved the overall model prediction for CAAD independently and additively with HDL-3 levels. Further investigation into the molecular mechanisms through which HDL-3 is associated with protection from CAAD is warranted.', ""The cholesterol efflux capacity of HDL is impaired in RA patients with high disease activity and is correlated with systemic inflammation and HDL's antioxidant capacity. Attenuation of HDL function, independent of HDL cholesterol levels, may suggest a mechanism by which active RA contributes to increased cardiovascular (CV) risk.""]"
93,70,93_transfusion_heparin_surgery_graft,"['transfusion', 'heparin', 'surgery', 'graft', 'postoperative', 'blood', 'bleeding', 'coagulation', 'bypass', 'ita']","['Aspirin does not increase bleeding or increase the need for allogeneic blood transfusion in coronary artery surgery.', 'Red blood cell transfusion is associated with increased troponin I release after elective off-pump coronary artery bypass graft surgery independently of hemoglobin and hematocrit nadirs. These findings suggest that prevention of major bleeding requiring blood transfusion may be cardioprotective during coronary surgery. Further studies are needed to verify whether troponin release is affected simply by RBC transfusion or by unstable hemodynamic conditions in presence of mild and severe anemia.', 'Enoxaparin administration more than 8 hours before coronary artery bypass surgery is not associated with increased postoperative bleeding or blood product transfusion.']"
94,68,94_fatigue_ms_life_quality,"['fatigue', 'ms', 'life', 'quality', 'depression', 'hrqol', 'qol', 'physical', 'cognitive', 'anxiety']","[""Inpatient rehabilitation decreased MS patients' fatigue. Change in fatigue was predicted with certain domains of QoL at baseline."", ""Fatigue is strongly associated with poor HRQOL, disability and depression similarly in CD and UC even when controlling for disease activity. Fatigue's association with a wide range of patient-reported outcome measures suggests that monitoring fatigue is a simple way to screen for overall disruption in patient life."", 'If we take into account baseline values of mental and physical fatigue as well as the severity of this symptom in our study series, one observes that therapy with IFN alone induces fatigue in the majority of cases after 1 and 3 months, while at month 6, the values decrease. In contrast, patients treated with IFN + carnitine show a marked and early significant reduction of fatigue levels. These data suggest that the greater energetic substrate utilised by group 2 patients may in some way provide a better response of the patients to this side-effect. Abnormalities of neurotransmission concerning serotonine seem involved in the genesis of depression and fatigue. In addition, depression and fatigue commonly occur together, and the former is the most commonly observed symptom in patients with chronic fatigue syndrome.']"
95,68,95_hif_hypoxia_1α_tumor,"['hif', 'hypoxia', '1α', 'tumor', '1alpha', 'radiation', 'cancer', 'hypoxic', 'angiogenesis', 'zol']","['Our data indicates that downregulation of HIF-1alpha is associated with positive therapeutic responses of cancer cells to EGFR-targeted therapy and suggest further investigation using HIF-1alpha as an indicator of tumor response to EGFR-targeted therapy in preclinical studies and in the clinical setting.', 'VEGF and HIF-1alpha are both expressed in epithelial ovarian cancer. VEGF expression correlated with HIF-1alpha expression, suggesting that HIF-1alpha may contribute to the overexpression of VEGF observed in epithelial ovarian cancer.', 'The potent antiangiogenic effects of hypoxic cytotoxins can be attributed to the suppression of VEGF and HIF-1 induction through the hypoxia-inducible pathway. We show an other aspect of the hypoxic cytotoxin as an HIF-1 inhibitor for hypoxia-targeted therapy to improve cancer treatment and prognosis.']"
96,67,96_exposure_air_pollution_workers,"['exposure', 'air', 'pollution', 'workers', 'fumes', 'pm2', 'asbestos', 'pollutants', 'lung', 'respiratory']","['Episodic exposure to PM(2.5) induces reversible vascular injury, reflected in part by depletion of circulating EPC levels, and increases in platelet activation and the plasma level of high-density lipoprotein. These changes were also accompanied by an increase in nonalbumin protein and may be related to mechanisms by which exposure to particulate air pollution increases the risk of cardiovascular disease and adverse cardiovascular events.', 'Despite exposures to asbestos that produced pleural plaques and exposures to metal dusts and foundry fumes the long term workers of this plant did not have excessive prevalence of COPD or SAD. The data suggest that low level long term exposure to metal dusts, gases, and foundry fumes do not necessarily cause respiratory dysfunction, circumscribed pleural plaques with low grades of width and extent do not reduce FVC significantly, and exposure to asbestos dust that produced pleural plaques does not necessarily produce airway dysfunction.', 'Finding significant declines in heart function in aged mice associated with the combined effects of air pollutants at ambient concentrations and at different time-lags is of great importance to public health. These results further implicate the potential short term and delayed effects of air pollution on HR alterations.']"
97,65,97_islets_islet_transplantation_zinc,"['islets', 'islet', 'transplantation', 'zinc', 'transplanted', 'mscs', 'pig', 'diabetes', 'graft', 'rve1']","['Native islets that are highly blood-perfused regained this feature after transplantation, indicating a superior capacity for revascularisation and post-transplant function. However, the same group of islets was more vulnerable to different kinds of cellular stress, which limited their early survival post transplantation. Preferential death of these most active islets may contribute to the high number of islets needed to provide cure with islet transplantation.', 'EC-islet co-culture can improve the function and survival of isolated islets in vitro, and EC-islet co-transplantation can effectively prolong the islet graft survival in diabetic rats.', 'Our results suggest that BM precultured with human islets may enhance the survival and function of transplanted islets, thus significantly improving the therapeutic efficacy of islet transplantation for type 1 diabetes.']"
98,65,98_autonomic_exercise_heart_hrv,"['autonomic', 'exercise', 'heart', 'hrv', 'sympathetic', 'brs', 'cardiovascular', 'bp', 'cbfv', 'lead']","['In geriatric patients with hypotensive syndromes, cardiovascular autonomic function as measured by HRV, BPV, and BRS is comparable to patients without such syndromes. These findings argue against a single or dominant etiological factor, that is, cardiac autonomic dysfunction and underline the structured, broad, and multifactorial approach to elderly patients with falls and/or syncope as proposed in the current evidence-based syncope guidelines.', 'Increasing stroke severity was associated with progressive loss of overall autonomic modulation, decline in parasympathetic tone, and baroreflex sensitivity, as well as progressive shift toward sympathetic dominance. All autonomic changes put patients with more severe stroke at increasing risk of cardiovascular complications and poor outcome. NIHSS scores are suited to predict risk of autonomic dysregulation and can be used as premonitory signs of autonomic failure.', 'The association of moderate to severe depression with reduced heart rate variability in patients with stable coronary heart disease may reflect altered cardiac autonomic modulation and may explain their increased risk for mortality.']"
99,62,99_pioglitazone_metformin_insulin_rosiglitazone,"['pioglitazone', 'metformin', 'insulin', 'rosiglitazone', 'lycopene', 'glucose', 'effect', 'diabetes', 'cholesterol', 'uptake']","['Insulin elicited a dose-dependent proliferative response in HASMC. Pretreatment with m7E3 (an anti-beta3 integrin monoclonal antibody from which abciximab is derived), c7E3 or LM609 inhibited proliferative responses to insulin by 81%, 59% and 28%, respectively. Eptifibatide or cyclic RGD peptides completely abolished insulin-induced proliferation whereas tirofiban, which binds alphaIIbbeta3 but not alphavbeta3, had no effect. Insulin-induced increases in c-Jun NH2-terminal kinase-1 (JNK1) activity were partially inhibited by m7E3 and eptifibatide whereas antagonism of alphavbeta3 integrins had no effect on insulin-induced increases in extracellular signal-regulated kinase (ERK) activity. Insulin stimulated a rapid increase in the number of vinculin-containing focal adhesions per cell and treatment with m7E3, c7E3 or eptifibatide inhibited insulin-induced increases in focal adhesions by 100%, 74% and 73%, respectively.', 'Pioglitazone monotherapy, or added to a sulfonylurea, metformin, or insulin demonstrated no significant differences in effectiveness while exhibiting similar adverse events in patients aged > or =65 years compared with patients aged <65 years. Well-controlled randomised clinical trials are recommended to confirm the impact of pioglitazone therapy on the glycaemic and lipid control in elderly patients with type 2 diabetes.', 'These results demonstrate that pioglitazone inhibits the level of serum RPB4 by suppressing RBP4 expression in adipose tissue of obese rats, suggesting that inhibiting RBP4 expression in adipocytes may provide a mechanism by which pioglitazone improves insulin sensitivity in insulin-resistant subjects.']"
100,61,100_parathyroid_thyroidectomy_parathyroidectomy_sestamibi,"['parathyroid', 'thyroidectomy', 'parathyroidectomy', 'sestamibi', 'preoperative', 'pancreatic', 'thyroid', 'hyperparathyroidism', 'ipth', 'gland']","[""Given that subtotal thyroidectomy provides an unpredictable outcome and that the risk of permanent complications is no greater than with total thyroidectomy, there appears little logical reason to continue to recommend subtotal thyroidectomy for the surgical management of Graves' disease. We believe that Graves' disease should join the increasing list of thyroid conditions for which total thyroidectomy is the preferred option."", 'Negative results on sestamibi scans should not be used as exclusion criteria for minimally invasive/focused parathyroidectomy in patients with primary hyperparathyroidism. In our study, 66 patients with negative results on preoperative scans were found to have a single adenoma and were surgically cured by minimally invasive/focused parathyroidectomy.', '(99mTc) sestamibi is a highly accurate test that can be employed as a single localizing modality for identifying a hypersecreting parathyroid, a UNE, or a parathyroidectomy. The weight of the gland plays an important role in the accuracy of the test, as also the preoperative PTH levels.']"
101,60,101_postural_pain_walking_muscle,"['postural', 'pain', 'walking', 'muscle', 'sway', 'cp', 'paretic', 'rehabilitation', 'spastic', 'gait']","['We concluded that postural sway increases following 20 days of bed rest despite maintenance of the muscle volume of plantar flexors as the main working muscles for the human postural standing.', 'It is suggested that the phase-dependent modulation of the triceps surae H-reflexes during the postural sway of quiet standing functions to maintain upright stance and may explain the results from previous studies, which, until now, had not taken the influence of postural sway on the H-reflex into consideration.', 'Alterations in self-reported pain intensities are closely related to changes in postural sway. The previously reported linear relationship between the two variables is maintained as pain levels change. Pain interference appears responsible for the altered sway in pain sufferers. This underlines the clinical use of sway measures as an objective monitoring tool during treatment or rehabilitation.']"
102,55,102_cb_cannabinoid_cannabinoids_thc,"['cb', 'cannabinoid', 'cannabinoids', 'thc', 'endocannabinoid', 'receptors', 'cbd', 'cb1', 'receptor', 'cb2']","['Methanandamide endothelium-dependent vasorelaxation is mediated by CB(1) and CB(2) cannabinoid receptors. The NO- and CYP-mediated pathways contribute in a concurrent manner in this vascular effect. Stimulation of both cannabinoid receptor subtypes is indistinctly linked to NO or CYP routes to cause vasorelaxation.', 'The high expression level of CB(1) and CB(2) receptors commonly found in malignant astrocytomas precludes the use of cannabinoids as therapeutics, unless AKT is concomitantly inhibited, or cannabinoids are applied at concentrations that bypass CB(1) and CB(2) receptors, yet still activate ERK1/2.', 'β-arrestin2 regulation of CB(1)R signaling following acute and repeated THC administration was region-specific, and results suggest that multiple, overlapping mechanisms regulate CB(1)Rs. The observations that βarr2-KO mice display enhanced antinociceptive responses to acute THC and decreased tolerance to the antinociceptive effects of the drug, yet enhanced tolerance to catalepsy, suggest that development of cannabinoid drugs that minimize CB(1)R interactions with β-arrestin2 might produce improved cannabinoid analgesics with reduced motor suppression.']"
103,51,103_ethanol_alcohol_pacap_alcoholic,"['ethanol', 'alcohol', 'pacap', 'alcoholic', 'cholesterol', 'liver', 'induced', 'injury', 'these', 'phospholipids']","['SAMe depletion occurs already after 8 weeks of alcohol feeding and is fully corrected by PPC, in parallel with the prevention by PPC of the alcohol-induced oxidative stress. Since phosphatidylcholines (PCs) are produced in the liver via methylation of phosphatidylethanolamine by SAMe, it is likely that PPC, by providing PCs, decreases the utilization of SAMe and thereby contributes to its restoration, with replenishment of GSH and correction of the alcohol-induced oxidative stress.', '1. Alcohol consumption diminishes phosphatidylethanolamine N-methyltransferase activity prior to the development of cirrhosis and decreases the hepatic content of its product, namely phosphatidylcholine, a key component of cell membranes. This may promote hepatic injury and possibly trigger fibrosis. 2. Phosphatidylcholine administration ameliorates the ethanol-induced decrease in phosphatidylethanolamine N-methyltransferase activity and corrects phospholipid and phosphatidylcholine depletions, thereby possibly contributing to the protection against alcoholic liver injury.', 'These data suggest that alcohol metabolites, not alcohol, lead to increased Gi-protein expression in HCC in vitro. Ethanol and ethanol metabolites, in contrast, fail to significantly alter Gialpha1/2 protein expression in hepatocytes. These data may have significant implications in HCC progression in vivo.']"
104,50,104_dhea_myostatin_insulin_levels,"['dhea', 'myostatin', 'insulin', 'levels', 'drsp', 'mirnas', 'testosterone', 'diabetes', 'muscle', 'glucose']","['Muscle-specific myostatin expression is not increased under catabolic conditions in insulin-deprived diabetes. Insulin treatment also does not change myostatin transcript levels. The data provide the first assessment of potential interplay between insulin and myostatin and they do not support a major role of circulating insulin in the in vivo regulation of myostatin gene expression. A role of myostatin in muscle catabolism in chronic insulin-deprived diabetes is also not indicated by the current results.', 'Our data suggested that serum DHEA-S levels are lower in women with PA. In subtype groups, only women with APA had lower serum DHEA-S. There was no significant difference between subjects with bilateral essential hyperplasia, PA with negative imaging findings, normal controls and subjects with essential hypertension in both genders. The serum DHEA-S level is negatively correlated with the size of APA.', 'This study shows that short-term treatment with DHEA increased platelet cGMP production, a marker of NO production, in healthy elderly subjects. This effect is coupled with a decrease in PAI-1 and LDL cholesterol levels as well as an increase in testosterone and E(2) levels. These findings, therefore, suggest that chronic DHEA supplementation would exert antiatherogenic effects, particularly in elderly subjects who display low circulating levels of this hormone.']"
105,47,105_tsh_thyroid_hypothyroidism_hyperthyroidism,"['tsh', 'thyroid', 'hypothyroidism', 'hyperthyroidism', 'euthyroid', 'graves', 'hypothyroid', 'iodine', 'hormone', '131']","['Small changes in T(4) dosage do not produce measurable changes in hypothyroid symptoms, well-being, or quality of life, despite the expected changes in serum TSH and markers of thyroid hormone action. These data do not support the suggestion that the target TSH range for the treatment of primary hypothyroidism should differ from the general laboratory range.', 'Despite being within the normal range, high TSH concentrations are associated with a lower cognitive function and high TSH and low free T4 with ADHD symptoms in healthy preschoolers. Statistically significant differences were observed in the highest quartiles of TSH, suggesting a need for re-evaluation of the upper limit of the normal TSH range.', 'For the same degree of thyroid failure, the serum TSH is lower among the elderly. This is most likely caused by a decrease in the hypothalamic/pituitary response to low serum T4. A certain increase in serum TSH may indicate more severe hypothyroidism in an old than in a young patient, and longer time may be needed after thyroid hormone withdrawal before elderly patients with thyroid cancer reach sufficiently high TSH values to allow for an effective radio-iodine treatment.']"
106,47,106_complement_grzb_odn_immune,"['complement', 'grzb', 'odn', 'immune', 'cd8', 'cells', 'cpg', 'aav', 'skin', 'bcg']","['The effect of the TLR3 ligand on keratinocytes suggests contribution of viral dsRNA to skin inflammations under the influence of a cytokine milieu. The results imply that viral dsRNA and a T(H)2 cytokine milieu might promote T(H)2-type inflammation through an induction of TSLP expression, suggesting that a vicious cycle exists between AD with T(H)2-type inflammation and viral infections and a possible blockade of this cycle by other cytokine milieus provided by cells, such as T(H)1, regulatory T, and T(H)17 cells.', 'Although measurement of intracellular GrzB by flow cytometry suggests that a larger proportion of CD8 T cells have higher capacity for GrzB production compared to CD4 T cells, ELISpot and ELISA show that similar numbers of activated CD4 and CD8 T cells secrete similar amounts of GrzB. Secretion of GrzB by activated CD8 T cells may be more tightly controlled compared to CD4 T cells.', 'Even without pre-existence of bacterial flora CpG-ODN exposition induces tolerance, indicating that CpG-ODN-induced regulatory T-cells are not bacterial antigen specific. TGF-beta and IFN-alpha/beta play major roles in induction of regulatory cells, and although IL10-independent mechanisms play a role in CpG-ODN protection, this cytokine likely is important for the effector mechanism of CpG-ODN-induced regulatory T-cells.']"
107,47,107_ptsd_stress_trauma_childhood,"['ptsd', 'stress', 'trauma', 'childhood', 'abuse', 'psychopathology', 'spindle', 'anxiety', 'disorder', 'traumatic']","['We provide novel evidence that physiological reactivity prior to exposure to an unpredictable traumatic stressor predicts PTSD symptom onset. These findings have implications for identifying youths most vulnerable to PTSD following wide-scale trauma.', ""Criteria for PTSD form an underlying dimension reflecting the individual's level of responsivity to traumatic and non-traumatic stressful life events. PTSD symptoms form a continuum of severity with minor stress symptoms at one end and severe PTSD at the other."", 'Combat-related PTSD in males is associated with higher levels of pro-inflammatory cytokines, even after accounting for depression and early life trauma. These results, from one of the largest studies of inflammatory cytokines in PTSD to date, suggest that immune activation may be a core element of PTSD pathophysiology more so than a signature of combat exposure alone.']"
108,45,108_peritoneal_peritonitis_pd_intraperitoneal,"['peritoneal', 'peritonitis', 'pd', 'intraperitoneal', 'dialysate', 'dialysis', 'fluid', 'pyruvate', 'transport', 'membrane']","['Our results suggest that (1) daily infusion of dialysis fluid into the peritoneal cavity may increase peritoneal lymphatic absorption: (2) daily infusion of 3.86% glucose dialysate may increase peritoneal transport for small solutes.', '1) Daily infusion of physiological saline into peritoneal cavity may increase the peritoneal lymphatic flow; 2) The significant (apparent) increase in IPV shortly after infusion may suggest increased RISA binding to peritoneal tissues (which may be related to the damage of the tissues, and results in overestimation of the peritoneal fluid absorption rate); 3) Saline is not a biocompatible peritoneal dialysis solution, and should therefore not be used as a control or flush solution.', 'Replacement of lactate by pyruvate resulted in changes in peritoneal solute transport, accompanied by a reduction in both peritoneal membrane angiogenesis and fibrosis, suggesting potentially novel mechanisms to reduce glucose-driven alterations to the peritoneal membrane in PD patients.']"
109,44,109_heat_exercise_temperature_performance,"['heat', 'exercise', 'temperature', 'performance', 'water', 'hot', 'cold', 'during', 'core', 'thermoregulatory']","['These results suggest that prior warming by both active and, to a greater extent, passive warming, may predispose a person to greater heat loss and to experience a larger decline in core temperature when subsequently exposed to cold water. Thus, functional time and possibly survival time could be reduced when cold water immersion is preceded by whole-body passive warming, and to a lesser degree by active warming.', 'We show that ingestion of hot water elicits a greater HL relative to cold water ingestion during exercise. However, this response was only compensated for the heat of the ingested fluid as evidenced by similar ΔHb between conditions. Therefore, our findings indicate that relative to cold water ingestion, consuming hot water does not provide a thermoregulatory advantage. Both hot and cold water ingestion results in the same amount of heat stored during prolonged moderate-intensity exercise.', 'Heat strain was increased during endurance exercise in the heat conducted 30 min after and, to a much lesser extent, 24 h after muscle-damaging exercise. These data indicate that EIMD is a likely risk factor for exertional heat illness particularly during exercise heat stress when behavioral thermoregulation cues are ignored.']"
110,44,110_ra_joint_mri_remission,"['ra', 'joint', 'mri', 'remission', 'radiographic', 'measures', 'wrist', 'joints', 'rheumatoid', 'disease']","['Both baseline and 1-year cumulative measures of MRI synovitis and bone marrow oedema independently predicted 3-year radiographic progression. These results confirm that MRI synovitis and MRI bone marrow oedema precede radiographic progression in patients with early RA.', 'Detection of survivin in early RA predicted joint destruction and failure of achieving remission after 5 years in patients with early RA.', 'In a randomised controlled trial aiming at remission in patients with early RA, baseline RAMRIS MRI bone oedema score of MCP and wrist joints (and of wrist only) was the strongest independent predictor of radiographic progression in hands, wrists and forefeet after 2 years. MRI synovitis score, MRI erosion score, DAS28, anti-CCP, SE, smoking, age and gender were not independent risk factors.']"
111,43,111_resveratrol_quercetin_metabolites_islet,"['resveratrol', 'quercetin', 'metabolites', 'islet', 'induced', 'p35', 'morphine', 'effects', 'potent', 'gliomas']","['Our results show that resveratrol has an antiapoptotic effect in EBI and that resveratrol might act through the PI3K/Akt signaling pathway.', 'These data suggest that resveratrol can inhibit tumor growth and can induce apoptosis via the intrinsic mitochondrial pathway and that by further increasing bioavailability of resveratrol the potency of the drug can be increased, leading to tumor regression. The nontoxic nature of the drug at levels needed for therapy make resveratrol an attractive candidate for the treatment of uveal melanoma.', 'The present study shows for the first time that resveratrol metabolites have a regulatory effect on adipokine expression and secretion. Since resveratrol has been reported to reduce body-fat accumulation and to improve insulin sensitivity, and considering that these effects are mediated in part by changes in the analyzed adipokines, it may be proposed that resveratrol metabolites play a part in these beneficial effects of resveratrol.']"
112,43,112_anastomotic_leakage_anastomosis_trpa1,"['anastomotic', 'leakage', 'anastomosis', 'trpa1', 'postoperative', 'anastomoses', 'sealing', 'imasp', 'surgery', 'colorectal']","['Anastomotic sealing using TissuCol(®), Histoacryl(®) Flex, or Duraseal(®) seems to be an effective and safe option to prevent leakage in contaminated colorectal surgery. The presence of large numbers of anti-inflammatory macrophages seems to be involved in preventing the leakage.', 'The technique of anastomosis is not significantly related to anastomotic leakage rate. However, patients with end-to-end anastomoses develop postoperative strictures more frequently, requiring a higher number of dilations compared to end-to-side anastomoses.', 'Additional sealing of the anastomosis increased anastomotic strength during early postoperative recovery when anastomotic strength is at its weakest. The findings indicate that sealing of the anastomosis has the potential to prevent leakage after esophagectomy in humans.']"
113,43,113_resection_melanoma_hepatectomy_liver,"['resection', 'melanoma', 'hepatectomy', 'liver', 'hepatic', 'examination', 'melanomas', 'melanocytic', 'dermoscopic', 'clm']","['Major hepatic resection is more effective in reducing the risk of intrahepatic recurrences than limited hepatic resection in patients with resectable colorectal carcinoma liver metastases.', 'The results of the present study indicate that when liver resection is necessary, repeated minor liver resection will be superior to major liver resection, because major resection, unlike repeated minor resection, stimulates metastasis. This should be taken into consideration in clinical situations that require liver resection.', 'Repeat liver resection for colorectal liver metastases is safe. Patients with a low tumor load are the best candidates for a repeat resection. In well-selected patients, further resection of the liver can provide prolonged survival after recurrence of colorectal liver metastases.']"
114,41,114_alerts_dnr_cdss_ed,"['alerts', 'dnr', 'cdss', 'ed', 'nurses', 'edwin', 'information', 'alert', 'cpoe', 'errors']","['Using clusters of drug interaction alerts with similar management recommendations in CDSSs can substantially decrease the overall alert rate. Further research is needed to establish the applicability of this concept in daily practice.', 'Most contraindicated drug-drug interaction alerts from a commercial knowledge base were inappropriately categorized and could be downgraded. Some contraindicated drug combinations are permissible under specific circumstances. Alerts suggesting that certain drugs should never be used together, but their use together is sometimes acceptable, contribute to alert fatigue.', 'The investigated CDSS in Dutch community pharmacy generated one or more drug therapy alerts in nearly half of the processed prescriptions. The majority of alerts were concentrated in a minority of therapeutic drug groups and patients. To decrease the alert burden, CDSS improvements should be directed at the prioritization and integration of drug therapy alerts for these therapeutic groups within patients.']"
115,41,115_aki_fluid_catecholamine_septic,"['aki', 'fluid', 'catecholamine', 'septic', 'mortality', 'resuscitation', 'balance', 'patients', 'epinephrine', 'cardiac']","['Fluid resuscitation results in positive fluid balance in both septic and control animals. This leads to circulatory stabilization of septic animals, but not a decrease in the anaerobic share of glycolysis. A positive fluid balance in control animals does not result in alteration of muscular aerobic glycolysis. Decreasing glycerol levels in both groups give evidence that a positive fluid balance does not exert a negative impact on cell metabolism.', 'A more positive fluid balance both early in resuscitation and cumulatively over 4 days is associated with an increased risk of mortality in septic shock. Central venous pressure may be used to gauge fluid balance ≤ 12 hrs into septic shock but becomes an unreliable marker of fluid balance thereafter. Optimal survival in the VASST study occurred with a positive fluid balance of approximately 3 L at 12 hrs.', 'Choice of hemodynamic monitoring is homogenous throughout German centers treating cardiac surgery patients. Norepinephrine is the first line catecholamine in cases of decrease in peripheral vascular resistance. However, catecholamine choice for low cardiac output syndrome varies considerably. HES was the primary colloid used for fluid resuscitation. After conduct of this survey, HES use was restricted by European regulatory authorities in critically ill patients and should only be considered as second-line fluid in surgical patients without renal impairment or severe coagulopathy. Large clinical studies addressing catecholamine and fluid therapy in cardiac surgery patients are lacking.']"
116,41,116_femoral_screw_fractures_pedicle,"['femoral', 'screw', 'fractures', 'pedicle', 'hip', 'screws', 'stem', 'fixation', 'healing', 'bone']","['These data suggest this modular femoral stem can provide long-term survivorship with no cases of aseptic loosening at 15 to 20 years after primary THA. However, it may be prudent when using this femoral stem to consider an articulation with an alternative bearing or, if the modularity is not needed to address femoral anteversion and metaphyseal-diaphyseal mismatch, to consider a nonmodular femoral stem.', 'Soft-tissue releases combined with femoral and pelvic osteotomies have reported poor results with regard to their long-term inefficacy in children. The outcomes of our series support these findings, since surgical procedures had been performed previously in 76% of the hips. Therefore, we believe that proximal femoral resection is a promising and reliable surgical treatment option to address such failures, in case of severe and painful deformities of the hip. The success of our series corroborates Widemann, Mc Carthy and Abu-Rajab encouraging results on proximal femoral resection. Postoperatively, we advise placement of a hip spica cast immobilization with a soft cotton lining to prevent pressure sores from developing. This surgical procedure seems to be an appropriate management in nonambulatory multiply handicapped children reporting more promising results than other surgical treatment options such as rotational osteotomy, arthrodesis or even arthroplasty.', 'The elucidated risk factors of nonunion after femoral nailing were identified as open fracture, infra-isthmal femoral fracture, breakage of locking screw, and inappropriate dynamization. We believe that the surgeon should be consciously aware of the need for additional surgical fixation for the distal fragment when performing femoral nailing of infra-isthmal femoral fractures.']"
